TDEP,GR,HMRS,HDRS,DTC,NPHI,DRHO,PE,RHOB,BSZ,CALI,DCALI
63.6,136.65325927734375,2.796680212020874,2.842729091644287,173.97988891601562,41.36915969848633,-0.010412991978228092,3.3378334045410156,2.1739771366119385,8.5,9.056570053100586,0.5565700531005859
63.7,142.16134643554688,2.7284538745880127,2.7454192638397217,177.2277374267578,40.97233581542969,-0.011922087520360947,3.364049196243286,2.175755023956299,8.5,8.97998332977295,0.4799833297729492
63.8,143.63673400878906,2.6643030643463135,2.608302593231201,176.67279052734375,40.36670684814453,-0.013599982485175133,3.3964009284973145,2.1760811805725098,8.5,8.966772079467773,0.46677207946777344
63.9,141.60398864746094,2.6671812534332275,2.5463147163391113,173.42210388183594,39.85502243041992,-0.015261859633028507,3.4400267601013184,2.1773860454559326,8.5,9.004528999328613,0.5045289993286133
64.0,136.2926025390625,2.6896262168884277,2.501685619354248,168.27325439453125,39.58860778808594,-0.01654287427663803,3.4787213802337646,2.182415008544922,8.5,9.025106430053711,0.5251064300537109
64.1,131.5877685546875,2.788271903991699,2.5131478309631348,161.40640258789062,39.226627349853516,-0.014046406373381615,3.5188651084899902,2.1956634521484375,8.5,9.03412914276123,0.5341291427612305
64.2,130.7681121826172,2.863081932067871,2.5216808319091797,155.13629150390625,38.189414978027344,-0.010438469238579273,3.502485513687134,2.211052656173706,8.5,9.036109924316406,0.5361099243164062
64.3,129.3255157470703,2.965731620788574,2.5798773765563965,149.11605834960938,36.03317642211914,-0.006424003280699253,3.500319242477417,2.23146915435791,8.5,9.036109924316406,0.5361099243164062
64.4,115.30937957763672,3.3411471843719482,2.7765774726867676,144.20188903808594,33.27539825439453,-0.001062797731719911,3.635023593902588,2.308511734008789,8.5,8.966109275817871,0.4661092758178711
64.5,105.94889068603516,3.676419734954834,2.971815586090088,139.68333435058594,30.55113983154297,-0.0016817040741443634,3.8182947635650635,2.354604959487915,8.5,8.932428359985352,0.43242835998535156
64.6,96.24415588378906,4.185709476470947,3.262686014175415,136.12782287597656,27.145355224609375,-0.004438671283423901,4.039639949798584,2.405320167541504,8.5,8.903027534484863,0.4030275344848633
64.7,78.16251373291016,6.0760602951049805,4.249037265777588,134.02188110351562,22.777280807495117,-0.009716169908642769,4.452764511108398,2.492586851119995,8.5,8.767911911010742,0.2679119110107422
64.8,69.03153228759766,7.591018199920654,4.936033248901367,123.2134780883789,18.952367782592773,-0.009249616414308548,4.566789627075195,2.527928352355957,8.5,8.735895156860352,0.23589515686035156
64.9,62.81853103637695,9.471946716308594,5.699090003967285,110.8876724243164,16.069700241088867,-0.006962701678276062,4.633991241455078,2.553318738937378,8.5,8.694393157958984,0.19439315795898438
65.0,55.539974212646484,13.126938819885254,6.993832588195801,102.96358489990234,14.522209167480469,-0.0022733299992978573,4.634819030761719,2.5824012756347656,8.5,8.707518577575684,0.2075185775756836
65.1,54.26131057739258,14.669173240661621,7.50172233581543,96.25377655029297,14.711243629455566,-0.002435972448438406,4.602556228637695,2.5853536128997803,8.5,8.727351188659668,0.22735118865966797
65.2,54.3432731628418,14.922613143920898,7.676914691925049,88.04965209960938,15.952043533325195,-0.0033764452673494816,4.536912441253662,2.5775022506713867,8.5,8.73032283782959,0.23032283782958984
65.3,66.83485412597656,14.563885688781738,7.6944580078125,83.21060943603516,17.989850997924805,-0.007840682752430439,4.329772472381592,2.5217607021331787,8.5,8.745058059692383,0.2450580596923828
65.4,81.06410217285156,10.654131889343262,6.647171497344971,83.2459487915039,21.094085693359375,-0.010638916864991188,4.192509174346924,2.4715752601623535,8.5,8.748785018920898,0.24878501892089844
65.5,97.40806579589844,8.536346435546875,5.851562976837158,86.43478393554688,24.567777633666992,-0.013971669599413872,4.025820255279541,2.413254737854004,8.5,8.748115539550781,0.24811553955078125
65.6,112.63729858398438,6.807159423828125,5.059336185455322,91.40402221679688,28.240680694580078,-0.018005572259426117,3.863253593444824,2.3515686988830566,8.5,8.735225677490234,0.23522567749023438
