TDEP,GR,BS,NPHI,CAL,RHOB,DRHO,PE,RESD,DTC,DCAL
32.09998878836632,62.23970031738281,8.5,,,,,,,,
32.199988789856434,69.88700103759766,8.5,,,,,,,,
32.29998879134655,74.5261001586914,8.5,,,,,,,,
32.399988792836666,75.72940063476562,8.5,,,,,,,,
32.49998879432678,74.16190338134766,8.5,,,,,,,,
32.5999887958169,72.40450286865234,8.5,,,,,,,,
32.699988797307014,70.75779724121094,8.5,,,,,,,,
32.79998879879713,71.04280090332031,8.5,,,,,,,,
32.89998880028725,71.39119720458984,8.5,,,,,,,,
32.99998880177736,72.30950164794922,8.5,,,,,,,,
33.09998880326748,69.15869903564453,8.5,,,,,,,,
33.199988804757595,66.92620086669922,8.5,,,,,,,,
33.29998880624771,63.94960021972656,8.5,,,,,,,,
33.39998880773783,61.717201232910156,8.5,,,,,,,,
33.49998880922794,57.07809829711914,8.5,,,,,,,,
33.59998881071806,54.52899932861328,8.5,,,,,,,,
33.699988812208176,53.1515007019043,8.5,,,,,,,,
