TDEP,HDRA,PEFZ,RHOZ
646.2268,-0.00030970573,2.0599809,2.3417969
646.17596,-0.0005259514,2.0546353,2.345919
646.1252,-0.0010094643,2.0508664,2.3473177
646.0744,-0.0012397766,2.0412054,2.3486447
646.0236,-0.00069117546,2.034603,2.3515027
645.9728,0.00066280365,2.025451,2.3562832
645.922,0.0032942295,2.0161169,2.363314
645.8712,0.005977869,2.012864,2.3689914
645.8204,0.008280039,2.0113962,2.373495
645.7696,0.010267496,2.0103552,2.3779063
645.7188,0.011109352,2.0104456,2.3818564
645.66797,0.011009455,2.0137687,2.3860397
645.6172,0.009902954,2.0237541,2.388139
645.5664,0.008659363,2.03198,2.387319
645.51556,0.007885218,2.040978,2.384036
645.4648,0.005503416,2.046545,2.3769407
645.414,0.0024108887,2.0569057,2.3681116
645.3632,-0.00048041344,2.0681791,2.3601055
645.3124,-0.0031802654,2.0842628,2.3517852
645.2616,-0.0046241283,2.1020086,2.3440773
645.2108,-0.0050837994,2.1177914,2.33602
645.16,-0.004930258,2.1318128,2.3280153
645.1092,-0.0056915283,2.1418784,2.32033
645.0584,-0.0075058937,2.146766,2.3135748
645.00757,-0.008466244,2.1470966,2.3095918
644.9568,-0.00831008,2.1375582,2.3083842
644.906,-0.007818937,2.124128,2.307472
644.85516,-0.007110834,2.1093678,2.30624
644.8044,-0.006505966,2.0969138,2.3040266
644.7536,-0.0059189796,2.0855803,2.3018203
644.7028,-0.005236149,2.0761907,2.300026
644.652,-0.004194498,2.0688753,2.2985053
644.6012,-0.0035324097,2.0686815,2.2957957
644.5504,-0.003344059,2.0745614,2.2918682
644.4996,-0.0038547516,2.085265,2.2865212
644.4488,-0.0045433044,2.0944471,2.2820556
644.398,-0.00514102,2.0948372,2.280178
644.34717,-0.0057139397,2.0890052,2.280091
644.2964,-0.0065283775,2.084271,2.2797396
644.2456,-0.0074694157,2.0848143,2.277855
644.19476,-0.0066285133,2.0811765,2.2768662
644.144,-0.0061938763,2.0745163,2.2767012
644.0932,-0.006367445,2.0656548,2.2771153
644.0424,-0.0064044,2.0505152,2.279414
643.9916,-0.006471634,2.0380175,2.2814772
643.9408,-0.0065164566,2.0285962,2.2836664
643.89,-0.0065083504,2.020603,2.2867134
643.8392,-0.0062065125,2.007761,2.292242
643.7884,-0.0053932667,1.9861262,2.3015046
643.7376,-0.006355047,1.9681906,2.3105893
643.68677,-0.006784439,1.9518517,2.3195584
643.636,-0.0060994625,1.9381144,2.3285208
643.5852,-0.0053215027,1.9268633,2.3363235
643.53436,-0.0043873787,1.915226,2.3432794
643.4836,-0.0035111904,1.9060111,2.3482316
643.4328,-0.002611637,1.8994797,2.351395
643.382,-0.0017447472,1.8981702,2.3525717
643.3312,-0.0011017323,1.8993098,2.352633
643.2804,-1.3113022e-05,1.9105339,2.3533955
643.2296,0.0012619495,1.9205807,2.354801
643.1788,0.0023543835,1.9304975,2.3573923
643.128,0.0032022,1.9415308,2.3601847
643.0772,0.0034587383,1.9450098,2.3625536
643.02637,0.0034718513,1.9507056,2.3650494
642.9756,0.0030872822,1.9641709,2.3663356
642.9248,0.0026152134,1.9814913,2.3675146
642.87396,0.0020968914,2.0028412,2.3685122
642.8232,0.0012311935,2.019184,2.3685598
642.7724,0.0005505085,2.0379846,2.3688211
642.7216,-0.00045371056,2.0629191,2.3666706
642.6708,-0.0013885498,2.0926988,2.3636112
642.62,-0.00182724,2.1308951,2.3611994
642.5692,-0.0019581318,2.1624124,2.359578
642.5184,-0.0016071796,2.1793694,2.3600647
642.4676,-0.0011796951,2.1865578,2.3605814
642.4168,-0.0008649826,2.1840637,2.3600464
642.36597,-0.00071144104,2.1723433,2.358085
642.3152,-0.0007531643,2.152245,2.3548448
642.2644,-0.00061297417,2.1215487,2.3523686
642.21356,-0.0003466606,2.085025,2.3503873
642.1628,2.9087067e-05,2.0479083,2.3487709
642.112,0.0003490448,2.0149293,2.3470967
642.0612,0.000613451,1.9878381,2.3454037
642.0104,0.0009407997,1.9645873,2.3446465
641.9596,0.0016708374,1.954392,2.3456283
641.9088,0.002534628,1.9461539,2.3485844
641.858,0.0033123493,1.941427,2.3522758
641.8072,0.00396657,1.9403152,2.3561542
641.7564,0.00411582,1.935122,2.3587482
641.70557,0.0044739246,1.938623,2.3616402
641.6548,0.0052187443,1.9428518,2.3657234
641.604,0.0056426525,1.9463373,2.36999
641.5532,0.0051596165,1.9492319,2.3738256
641.5024,0.0040311813,1.9441297,2.3740134
641.4516,0.0035874844,1.9418871,2.37201
641.4008,0.0027990341,1.9389386,2.36769
641.35,0.0018727779,1.9431425,2.3619125
641.2992,0.0013372898,1.9541321,2.3573003
641.2484,4.172325e-05,1.962414,2.3506718
641.1976,-0.0018491745,1.9729066,2.3418949
641.1468,-0.0035550594,1.9873068,2.331873
641.096,-0.004136324,2.0011919,2.3224132
641.04517,-0.0043537617,2.0122545,2.3155663
640.9944,-0.0049989223,2.0171225,2.3107994
640.9436,-0.0051481724,2.0231388,2.3079445
640.8928,-0.0051956177,2.0263116,2.3054683
640.842,-0.005580902,2.036699,2.3018105
640.7912,-0.005621195,2.0514247,2.2991745
640.7404,-0.00533247,2.0719116,2.2982576
640.6896,-0.0046715736,2.096137,2.300182
640.6388,-0.0040187836,2.130542,2.3033352
640.588,-0.0034048557,2.1768267,2.3076818
640.5372,-0.0030808449,2.235766,2.3123846
640.4864,-0.0026729107,2.302776,2.3183568
640.4356,-0.0020656586,2.374454,2.3253658
640.38477,-0.0008816719,2.4430017,2.3337152
