TDEP,BS,GR,NPHI,DT
46.20768,8.5,75.45861,0.20066535,77.43421
46.19244,8.5,73.04502,0.20577966,74.36532
46.1772,8.5,70.53639,0.23315397,78.45392
46.16196,8.5,71.63348,0.24321236,79.508736
46.14672,8.5,68.42286,0.23793177,78.49795
46.131477,8.5,65.24753,0.19747357,76.16762
46.116238,8.5,59.32326,0.1605652,69.064476
46.100998,8.5,58.842976,0.15463933,66.41713
46.08576,8.5,55.771137,0.18221587,67.54785
46.070522,8.5,62.96315,0.22341485,70.71501
46.05528,8.5,65.9958,0.2474571,74.953384
46.04004,8.5,68.62881,0.23551318,74.016426
46.0248,8.5,61.883373,0.21311052,71.87133
46.00956,8.5,61.663956,0.17606148,70.22504
45.99432,8.5,64.0238,0.16267438,65.84787
45.979076,8.5,60.505383,0.14445393,65.46176
45.96384,8.5,58.172436,0.16118735,71.30243
45.9486,8.5,52.74074,0.1870498,74.47751
45.93336,8.5,53.75053,0.23025928,81.94616
45.91812,8.5,49.939793,0.24287148,86.7786
45.902878,8.5,50.378628,0.25700012,88.06217
45.887638,8.5,48.606503,0.2811767,88.76974
45.8724,8.5,45.973495,0.29820403,80.24025
45.85716,8.5,36.75797,0.24720825,72.160576
45.84192,8.5,27.492117,0.14462316,63.591522
45.82668,8.5,20.69018,0.05393123,56.8789
45.81144,8.5,21.853678,0.025095325,57.85968
45.7962,8.5,30.565367,0.06480007,61.81888
45.78096,8.5,47.460495,0.17454632,70.38933
45.76572,8.5,66.24521,0.29848808,80.339676
45.750477,8.5,88.62577,0.35018787,84.44174
