Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-689-SE,473.6,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.22252321243286,0.7225232124328613,113.6991081237793,1.5713098049163818,0.19626182049569865,104.4897575378418,2.4410606622695923,-0.0031381845474243,0.2988572865724563,3.4413070678710938,True
1-BRSA-689-SE,473.7,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.227896690368652,0.7278966903686523,109.3013916015625,1.6483197212219238,0.21704145474885514,103.06927490234376,2.4553451538085938,-0.0041534900665283,0.2576372623443603,3.4710614681243896,False
1-BRSA-689-SE,473.8,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.206401824951172,0.7064018249511719,104.77728271484376,1.8635090589523315,0.2703315083017966,101.86273956298828,2.4777870178222656,-0.0023555755615234,0.2320289015769958,3.512150526046753,False
1-BRSA-689-SE,473.9,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.367611408233644,0.8676114082336426,109.55654907226562,1.6436344385147097,0.21580523231009013,107.76977920532228,2.455248236656189,-0.0033237934112548,0.2419777810573577,3.5348986387252808,True
1-BRSA-689-SE,474.0,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.528820991516112,1.0288209915161133,114.3358154296875,1.4237598180770874,0.15343673194018584,113.67681884765624,2.4327094554901123,-0.0042920112609863,0.2519266605377197,3.5576467514038086,False
1-BRSA-689-SE,474.1,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.313875198364258,0.8138751983642578,124.63126373291016,1.349888801574707,0.13029799453090787,115.10015869140624,2.3958213329315186,-0.00191330909729,0.3114518523216247,3.4420385360717773,False
1-BRSA-689-SE,474.2,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.233270645141602,0.7332706451416016,125.6363525390625,1.393545389175415,0.14412111868792596,115.6847915649414,2.387181282043457,-0.00084388256073,0.3201520889997482,3.395690441131592,True
1-BRSA-689-SE,474.3,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.152666091918944,0.6526660919189453,126.64144134521484,1.437201976776123,0.15751780587631617,116.26942443847656,2.3785412311553955,0.00022554397583,0.3288523256778717,3.3493423461914062,False
1-BRSA-689-SE,474.4,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.292380332946776,0.7923803329467773,133.5830841064453,1.3950979709625244,0.14460470707513434,111.3329086303711,2.3813459873199463,0.0015730857849121,0.3509331047534942,3.267528533935547,False
1-BRSA-689-SE,474.5,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.292380332946776,0.7923803329467773,134.65452575683594,1.3609670996665957,0.1338476265949917,110.86861419677734,2.387723684310913,0.0030734539031982,0.3440608531236648,3.270260214805603,True
